symbol,tvlUsd,apy,pools,largest_pool_id,largest_pool_tvl,largest_pool_pct_of_tvl
SRUSD,313080547,0.043451861367164404,4,402b0554-9525-40af-8703-3c59b0aa863c,160046265,51.11983690254635
ETH+,311801206,0.013008398941452459,3,4e6cd326-72d5-4680-8d2f-3481d50e8bb1,217965590,69.90530690891555
BNB,310957174,0.017378916643706055,13,e15db93c-9c49-490c-896d-24092b4d7471,297214504,95.5805264682525
LSETH,309781695,0.048563850370946536,2,465d177e-3d0d-42c0-b5f5-31c857567135,308980359,99.74132235282656
USDX,307897393,0.07606970612196479,4,e7ac1a5f-f141-4c00-9a5d-2e2c505a800c,269868545,87.64885677352909
DSOL,302890062,0.09038270704860102,2,296651fc-25f6-4434-b8ec-17c2af9808da,289381900,95.54024258478312
USDC.E,290671437,0.014633344653820934,46,9bf5faf4-32e3-437e-8080-c38eae10cfa6,240925070,82.88570507187467
SPARKUSDC,283532870,0.060532100000000005,1,9f146531-9c31-46ba-8e26-6b59bdaca9ff,283532870,100.0
SPDAI,275402745,0.0382317,1,30347261-b48b-4781-b394-081e630d49a9,275402745,100.0
CRVUSD,273295732,0.034933463202977494,40,64078a28-4d66-43d7-bc97-012994a0e4d4,35319227,12.9234462395483
LINK,271928865,0.0003598493958914586,20,b847133f-f5d5-4692-b74e-d815d51988fc,206648958,75.99375594054717
ETH-STETH,266861512,0.018787366299509688,5,57d30b9c-fc66-4ac2-b666-69ad5f410cce,132973302,49.82858000145034
WBTC-WETH,257211380,0.06663903573237001,56,c5599b3a-ea73-4017-a867-72eb971301d1,79616445,30.953702359514573
USDC-WETH,256836376,0.12991267062835132,36,665dc8bc-c79d-4800-97f7-304bf368e547,113360956,44.13742234082917
SFRXETH,248895947,0.03493719671687903,6,5b3aebb3-891d-47fc-92e2-927ada3d5b82,213956593,85.96226478529199
TBTC,236921463,0.0004946061355943932,16,c4f1e434-3386-4f48-b0ac-dc89782dfa55,156500103,66.05568825142701
RLP,234058457,0.06914032993189219,4,2ad8497d-c855-4840-85ad-cdc536b92ced,169379029,72.36612219484981
WSTETH-AAVE,230397343,0.009991600000000002,1,201e5f6e-cf75-4d0e-b07f-d58da3cee23a,230397343,100.0
OUCH-SUI,227990597,22.5017022,1,b1fd5559-e4f3-4aaf-a74b-5ac6c8763e6f,227990597,100.0
APT,220609922,0.09759612810075104,4,490006e3-284b-4107-9bb9-99906b7880b2,208820296,94.65589494202351
USDD,213218941,0.05489589999999999,1,f179ea6c-3345-432f-b727-9e68e7881105,213218941,100.0
CSUSDL,206848657,0.01125346471753597,7,dd04a8fb-2173-48be-ab30-97d9071cda17,112579168,54.4258636400042
WAVAX,198977635,0.010662334924247643,7,a1e18d7d-9a5f-4251-acb4-a87e005fe2c5,192854807,96.9228561792887
GHO,197505678,0.12060670709866378,7,ff2a68af-030c-4697-b0a1-b62a738eaef0,170674728,86.41509941805319
SOLVBTC.BNB,196149024,0.03089695,2,286ea126-e8dc-439d-8a3e-a82d727f29a2,98074512,50.0
SOLVBTC,191059649,0.0004075397453687356,10,870e5485-c1f2-4a14-b014-286d0a833bf6,70413238,36.854060168403215
USUALUSDC+,186196523,0.0638051,1,32d65ccd-5c07-4b45-8441-98bc86c0720a,186196523,100.0
SOL,184941620,0.042828556677558575,17,525b2dab-ea6a-4cbc-a07f-84ce561d1f83,135085537,73.04225895717794
DAI-USDC-USDT,183294930,5.640802625964613e-05,6,25171c4c-1877-449a-9f88-45a9f153ee31,180945934,98.7184610070775
STEAKUSDC,177163344,0.05158823662841056,2,a44febf3-34f6-4cd5-8ab1-f246ebe49f9e,174295219,98.38108440761877
SWETH,176833541,0.025408682645454126,6,ca2acc2d-6246-44aa-ae91-8725b2c62c7c,116390597,65.81929895301933
REUSD-SCRVUSD,176723403,0.1244098746623909,4,5c4940c7-c193-440d-b95e-9148d017e12c,94746991,53.61315445017772
UNIBTC,169242283,0.01334916419014922,10,cf14af8d-3f0d-43d2-be70-e295d2705443,71909589,42.48913907643281
EBTC,167036164,0.001862623961319538,8,3ddb0b11-e501-491d-85e4-8a50efc0bced,133798345,80.10142342588759
WETH-USDT,165532769,0.18772999175822458,46,fc9f488e-8183-416f-a61e-4e5c571d4395,71283419,43.06302578675525
WBTC-USDC,150489227,0.20574052361589046,31,bbecbf69-a4f7-43e3-8b72-de180d106e2c,89256697,59.311020980923765
WISE-WETH,149447997,0.0,1,8ac917c6-12fa-49df-aa0b-ced2ebe54e91,149447997,100.0
WETH-USDC,148091321,0.35370994656474813,74,a14bd201-764c-40a5-86b8-2928b2461232,53855411,36.366351948471035
CDCETH,146826609,0.01914132356398424,3,9c2bff87-4f12-470d-bf13-b5b59f495dc5,89010464,60.62284255301436
DAI-USDC,139792156,0.0016593546426260143,13,94c6fd56-9837-4202-9ece-db02a9ac1171,58425131,41.79428422292879
PT-SUSDE-29MAY2025,139602676,0.0002641504421820682,4,07ba9ce6-f3f0-456d-a310-263eceb1ffe9,132530673,94.93419237894838
FRAX-USDE,135504752,0.03762251630190209,2,12ca9565-0369-404e-b209-631305e4012a,67905212,50.11279014037825
SUSDA,132757636,0.06591696312708069,3,d84a1044-0a2e-45cd-ac1a-379cd3109dd9,66170583,49.84314649893284
CVXCRV,130718755,0.13430585686469396,4,ef32dd3b-a03b-4f79-9b65-8420d7e04ad0,130194951,99.59928932921676
SOLVBTC.M,126447165,7.756540998764187e-06,2,2fd993e9-2dcb-46a4-ae11-bdb2933bb77e,115387367,91.2534235148728
USDS-USDC,124586672,0.002107492435300784,9,5b6c56a9-3b81-48ee-bee7-3f0dcd862e4d,60353073,48.442639996034245
RSWETH,121560060,0.033039182703952265,7,eff9b43c-a80d-4bfc-9f9e-55e02a8ef619,103801376,85.39102070202993
HSOL,119849995,0.07450679154688993,3,d7e101d6-8e6c-4348-9c5f-62398872a301,104610708,87.28469951125155
TACLBTCV,119496351,0.082125,1,cce4525b-9ee4-48b0-b66e-212696eb6b58,119496351,100.0
TACBTC,117357521,0.16425,1,dd57bce4-20b2-4423-bc9b-c4ec88a459f9,117357521,100.0
XSOLVBTC,115881006,0.007990579720497076,9,64e56608-109f-4c62-a768-1bc476b8af5c,42428902,36.61419887915022
ETH-USDC,110944875,0.17354709089322512,44,61b4c35c-97f6-4c05-a5ff-aeb4426adf5b,52373403,47.20668980879017
OETH,110690696,0.03075102849017048,3,423681e3-4787-40ce-ae43-e9f67c5269b3,110016206,99.39065339330779
SYRUPUSDC,108606028,0.024599599168874862,6,d202a84b-51a5-413a-b257-094649ac57c9,79620018,73.31086447614123
USR,108349662,0.03522133961226109,17,3cd0721e-f405-4576-b61c-1eec24008dd0,38222168,35.27668411185261
SDAI,107050628,0.04137201050619712,11,13392973-be6e-4b2f-bce9-4f7dd53d1c3a,81291219,75.9371715222446
WBTC-CBBTC,106800307,0.005550114962802494,7,c0bbcf6c-9454-4773-a19f-c6486484c287,58717657,54.97892154935472
YNBTCK,106429400,0.0,1,7ca0397f-619e-4346-b0ce-d81292ecf73e,106429400,100.0
SFRAX,106024345,0.03045706844918589,2,55de30c3-bf9f-4d4e-9e0b-536a8ef5ab35,70218269,66.22843932683574
CUSDO,103851649,0.11988642475042162,9,3c40acc0-f07f-4a04-9716-a1b832f980a4,30846596,29.70255773213577
USDT-USDC,103682668,0.06206350659718365,37,13b0db7c-491b-47d5-a2fb-e5af0a17b1d1,38848239,37.46840214412692
USDC-USDT,103196666,0.025211310291048557,65,e737d721-f45c-40f0-9793-9f56261862b9,30419696,29.477401915290557
BBQUSDC,102068340,0.06199732953056061,2,6fcfa6f7-861f-4d50-b594-190f4be37abf,101774197,99.71181759201727
PUFETH,101148775,0.026779735841081617,11,9505b2e8-bfdf-4591-9d33-45793e5d4718,59831776,59.152249743014686
IFIL,100920479,0.09965969999999999,1,5317ec43-005e-472b-87a4-eb402b49d394,100920479,100.0
USD₮0,100899280,0.1645960192996838,11,01d53a6e-ac08-4477-a1a6-ccccd0c51aec,39723978,39.36993207483741
GMX,100294132,0.00014228795686870295,5,4df7d373-6214-4a73-9bd3-ca6e5683d846,95689152,95.40852499725507
WBTC.B-USDC,99732876,0.22281748913085694,27,5b8c0691-b9ff-4d82-97e4-19a1247e6dbf,83401914,83.6252972389967
FPI-FRAX,99547773,2.4192565294253246e-05,2,a61791ea-2886-4428-991c-7181d26a6062,96719518,97.15889676406924
RLUSD,98735414,0.0056796,1,85fc6934-c94d-4ebe-9c60-66beb363669f,98735414,100.0
HKDM-USDM,97465259,0.0,1,e3dc3d1e-d095-4372-bcd9-6dc187c7b4bf,97465259,100.0
STUSR,94118645,0.057014100000000005,1,0aedb3f6-9298-49de-8bb0-2f611a4df784,94118645,100.0
AGETH,92595788,0.004254813496948695,4,eab7ee0f-e942-490d-be54-b8b6512ba73d,68424834,73.89627053014549
STEAKRUSD,92108126,0.05255150000000001,1,a2f90fad-d583-403f-9722-a19502ce7776,92108126,100.0
ZBU,91325295,0.16872282578659942,3,e02220fe-38af-4277-994a-2db03fcbd331,39798327,43.57864598192647
TACUSD,90141416,0.27375,1,a2c58a7c-bc94-4ce1-aff3-e510dcd53254,90141416,100.0
WS,89813288,0.014843785821518973,23,09fcd4ee-e2c2-4739-9d6e-1da4273a7109,37071919,41.27665273762163
STAPT,88875366,0.025768306692721808,4,23843c50-687f-4863-a9bb-0c625d4d92a3,57679181,64.89895186479457
WSTUSR,88224671,0.10041681086803149,8,457beb67-518e-4cee-9a06-3086780e73d7,41179635,46.67587255723515
SBTC,88040983,0.0,1,2281d0f8-0d11-4270-a451-0eb7ca39639e,88040983,100.0
MCWETH,87924981,0.039018638553635854,3,e6fe542f-e35f-445e-8465-cebc8cd37967,87870916,99.93851008054241
STBTC,87761456,2.0671738855380887e-07,3,88350907-5005-4783-9003-a6d8c8ed4699,60472730,68.90579618460295
SOL-USDC,86946625,0.3473878005412193,21,a5c85bc8-eb41-45c0-a520-d18d7529c0d8,32526289,37.40949001758263
VSOL,86906820,3e-07,1,4be785fa-1b2e-44fa-a56e-16a0c2148eba,86906820,100.0
USDC-AERO,86869302,0.387070676267278,5,d19fdacb-e7ce-400c-b62d-d195fe4a84a9,54969055,63.27788267482568
TACETH,85986270,0.19162500000000005,1,7532ba1c-b0d3-487d-b833-7077165a2c76,85986270,100.0
SNECT,85798300,0.1829344,1,5c4997d9-e1da-488c-9717-4ec5e07b4be1,85798300,100.0
HAEDALSUI,83492615,0.00022,1,f15cbe11-02f5-4694-a689-46fee5c47849,83492615,100.0
BB.SNECT,81967482,0.1800438,1,30dd2264-82da-40d1-b28d-87e94fc9c2e7,81967482,100.0
RETH-WETH,81166544,0.0013541263431975125,14,42c02674-f7a2-4cb0-be3d-ade268838770,39373243,48.50920226442067
ETH-OETH,77357670,0.04098699814927079,3,18cb2d80-422e-4d0d-a223-66a307f06d8d,38694321,50.020018700149585
APXETH,77134687,0.042765141884350946,3,fc25b5ff-2ba8-44a3-895b-e0d22d96365f,77008980,99.83702922136703
USDT-WBTC-WETH,77014352,0.056652560449092684,8,3c2762d6-9c06-4a42-b098-40f9f885ae02,20336676,26.40634566398741
YUSD,76252437,3.07269432919884,9,f91b2168-c279-475c-a98a-673220f4fee7,24460922,32.07887244311943
SUI,74957215,0.055562942796822154,3,f8ffbfd7-7448-45f4-9cc4-f8c1185489a2,53251957,71.04313707493
BTC-RUNE,74833504,0.06185920000000001,1,ff8364e8-9cb3-4872-a9f3-2c883acb9e23,74833504,100.0
USD0-USD0++,74277989,0.004,1,bc58a174-05f8-4e41-8f77-be9c13a614bf,74277989,100.0
TETH,74152933,0.032005079462071984,4,77871537-d13b-475f-ab01-453778ad1521,29118607,39.268314579006606
SOL-JITOSOL,74144441,0.010355451370294907,3,55616349-b749-4467-8edc-abbb40ae80f6,34539863,46.58456188239386
STS,73712513,0.022090082381931542,10,68892078-2e21-4f27-b458-015d1d842636,56556375,76.72560966684178
VVS-WCRO,72428588,0.035056753410291526,2,2fca7a84-651c-440a-beb3-eced492a7bea,72165462,99.63670974781394
USUALX,72124325,0.925606416190546,2,f5f2d217-e073-45df-bbee-5b698d2b8488,69939466,96.97070440520588
WSTETH-DWSTETHV3,71859006,0.0146498,1,6c2e18df-9361-4367-addb-1c22d392a47f,71859006,100.0
REUSDC,71375917,0.062111200000000005,1,0677605a-0842-40af-8b8d-9d4ba5f55de3,71375917,100.0
BSOL,71031352,8.555251074905627e-05,3,9837ed71-8e5e-45c4-a56d-54d738a1cb1e,35515271,49.99942982923935
STLINK,70972715,0.05308159999999999,1,4f5deb26-5f61-45a3-8f61-0edca3a86809,70972715,100.0
AUSDC,70158940,0.062063413048918624,7,d187b469-1ab5-426a-bbc9-012dec569822,34082033,48.57831803046055
MMEV,68982872,0.0809769487174483,7,0ffd2dc2-72d2-449f-8cac-34a09ce6f323,45249483,65.59524370049424
HASUI-SUI,68676627,0.002767338483801774,2,0aa735e0-4cef-4b56-87ea-f75919b2bab0,68043832,99.07858753750385
G-UNI,68615953,0.0,2,f38a1e55-ee6a-427c-83b5-74232e1b2c24,58423277,85.14532618966905
VENOM,68375580,0.10411880000000001,1,36e53dd0-7048-4d8b-aec3-c26708edb67c,68375580,100.0
MIM-3CRV,68254651,0.12105338284210553,3,fb6676ba-0a45-44c8-86f6-63956956ebe1,39828272,58.35246597334444
KODISUSDA-USDA,67457330,0.06163579999999999,1,a954c353-a594-447b-860b-cbe4cf9530a0,67457330,100.0
